Date,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS
2023-01-02,783.6779174804688,880.6473999023438,1397.7021484375,1175.8896484375,2932.793701171875
2023-01-03,788.8023681640625,879.5739135742188,1396.372314453125,1167.28466796875,2977.666015625
2023-01-04,774.7041625976562,877.3782958984375,1370.922119140625,1149.7095947265625,2980.633056640625
2023-01-05,769.7240600585938,857.9103393554688,1352.9462890625,1147.6552734375,2977.44091796875
2023-01-06,767.1738891601562,849.078857421875,1328.4591064453125,1158.0863037109375,2887.922607421875
2023-01-09,768.6654663085938,852.2503662109375,1361.4296875,1185.430419921875,2985.39892578125
2023-01-10,754.6154174804688,840.540283203125,1347.947998046875,1167.90087890625,2955.230224609375
2023-01-11,765.48974609375,845.3706665039062,1349.3236083984375,1153.178955078125,2993.267578125
2023-01-12,769.5796508789062,839.8572387695312,1357.89892578125,1128.2769775390625,2998.34814453125
2023-01-13,770.1812133789062,852.3479614257812,1379.0386962890625,1126.4510498046875,3034.496826171875
2023-01-16,762.7952270507812,844.3461303710938,1399.077880859375,1115.723388671875,3066.225830078125
2023-01-17,774.1508178710938,844.24853515625,1411.9176025390625,1131.56396484375,3107.0126953125
2023-01-18,787.8159790039062,848.493408203125,1417.3284912109375,1129.692138671875,3117.681396484375
2023-01-19,791.087890625,845.224365234375,1411.3673095703125,1128.482421875,3102.138427734375
2023-01-20,799.195556640625,849.3228759765625,1399.123779296875,1115.0614013671875,3092.94189453125
2023-01-23,805.041748046875,850.6402587890625,1419.7132568359375,1109.4237060546875,3140.58056640625
2023-01-24,815.8198852539062,849.7132568359375,1423.2899169921875,1102.873046875,3160.261962890625
2023-01-25,793.2772216796875,834.6364135742188,1415.1275634765625,1087.6259765625,3154.23779296875
2023-01-27,777.4708862304688,797.4569702148438,1393.254150390625,1066.992431640625,3137.0400390625
2023-01-30,776.6769409179688,803.6046752929688,1411.275634765625,1077.218017578125,3157.824462890625
2023-01-31,771.552490234375,811.8017578125,1406.64404296875,1074.5245361328125,3088.895751953125
2023-02-01,783.1245727539062,827.4640502929688,1422.5562744140625,1068.156494140625,3134.556884765625
2023-02-02,771.4802856445312,837.1736450195312,1452.50048828125,1062.244873046875,3182.42578125
2023-02-03,798.1611328125,842.9310302734375,1466.853515625,1063.1805419921875,3202.566650390625
2023-02-06,794.7688598632812,833.0751342773438,1439.75244140625,1055.1690673828125,3182.01220703125
2023-02-07,795.9476318359375,832.1480712890625,1432.919677734375,1052.6356201171875,3193.599365234375
2023-02-08,795.8515014648438,838.3446044921875,1458.691162109375,1073.6572265625,3237.330322265625
2023-02-09,794.1914672851562,840.0035400390625,1482.9949951171875,1075.5289306640625,3256.41357421875
2023-02-10,797.3430786132812,833.2214965820312,1475.2452392578125,1066.6728515625,3253.378173828125
2023-02-13,797.9445190429688,830.0988159179688,1437.5513916015625,1060.6014404296875,3202.658447265625
2023-02-14,805.3305053710938,844.3948364257812,1461.2130126953125,1085.5947265625,3218.93701171875
2023-02-15,803.694580078125,849.761962890625,1464.6983642578125,1110.1768798828125,3237.835693359375
2023-02-16,800.783447265625,848.4446411132812,1469.0546875,1109.3095703125,3272.2314453125
2023-02-17,796.7656860351562,841.8089599609375,1452.54638671875,1113.9429931640625,3219.90234375
2023-02-20,789.2835083007812,831.5137329101562,1460.4794921875,1102.16552734375,3207.164794921875
2023-02-21,792.2427368164062,833.5630493164062,1448.6025390625,1111.158447265625,3173.781005859375
2023-02-22,776.7009887695312,818.9741821289062,1432.3695068359375,1085.959716796875,3128.30322265625
2023-02-23,771.4321899414062,819.462158203125,1422.1893310546875,1080.755615234375,3139.56884765625
2023-02-24,764.5514526367188,819.413330078125,1422.1435546875,1088.1510009765625,3127.291748046875
2023-02-27,766.4521484375,835.7098999023438,1384.220458984375,1080.91552734375,3064.202392578125
2023-02-28,769.6759033203125,834.197265625,1364.272705078125,1060.2362060546875,3046.728515625
2023-03-01,768.93017578125,835.6123046875,1372.0684814453125,1069.982421875,3113.7265625
2023-03-02,762.38623046875,833.3678588867188,1350.1492919921875,1061.833984375,3054.63720703125
2023-03-03,777.5189819335938,847.56640625,1356.7066650390625,1088.927001953125,3073.675048828125
2023-03-06,783.0042724609375,846.7857055664062,1382.523681640625,1099.5633544921875,3100.989013671875
2023-03-08,784.5680541992188,851.030517578125,1368.99609375,1103.5120849609375,3118.048828125
2023-03-09,784.6402587890625,835.270751953125,1357.71533203125,1076.98974609375,3068.800537109375
2023-03-10,764.4071655273438,822.2921142578125,1349.598876953125,1060.3046875,3063.420654296875
2023-03-13,754.7356567382812,808.3863525390625,1316.1695556640625,1042.8665771484375,3018.310546875
2023-03-14,752.7147827148438,810.2891845703125,1302.3209228515625,1038.9635009765625,2956.692626953125
2023-03-15,741.9125366210938,805.94677734375,1302.0,1021.2056884765625,2941.931884765625
2023-03-16,746.7242431640625,803.9950561523438,1287.7386474609375,1016.1157836914062,2929.148681640625
2023-03-17,756.70849609375,816.0466918945312,1302.962890625,1014.837646484375,2923.906982421875
2023-03-20,751.4636840820312,816.241943359375,1287.3258056640625,1004.8632202148438,2890.798583984375
2023-03-21,759.9803466796875,831.8065185546875,1275.448974609375,1036.1102294921875,2856.5869140625
2023-03-22,758.2241821289062,839.4180908203125,1274.119140625,1039.26025390625,2879.302490234375
2023-03-23,752.1373901367188,834.7828979492188,1260.6375732421875,1026.1131591796875,2873.646484375
2023-03-24,750.9344482421875,831.8065185546875,1266.23193359375,1005.7989501953125,2869.830078125
2023-03-27,754.2063598632812,828.1959228515625,1273.8441162109375,1021.4340209960938,2871.485107421875
2023-03-28,760.3412475585938,834.0997314453125,1263.4346923828125,1026.2044677734375,2865.599365234375
2023-03-29,763.9981689453125,830.4403076171875,1268.8917236328125,1020.133056640625,2886.75146484375
2023-03-31,774.463623046875,856.05615234375,1309.612060546875,1064.116455078125,2948.369873046875
2023-04-03,774.9447631835938,862.4478759765625,1293.92919921875,1064.299072265625,2942.943603515625
