Date,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS
2023-01-02,783.6779174804688,880.6473999023438,1397.7021484375,1175.8896484375,2932.7939453125
2023-01-03,788.8023071289062,879.5739135742188,1396.372314453125,1167.28466796875,2977.66552734375
2023-01-04,774.7041625976562,877.3782958984375,1370.921875,1149.7095947265625,2980.6328125
2023-01-05,769.7240600585938,857.9103393554688,1352.9462890625,1147.6552734375,2977.440673828125
2023-01-06,767.173828125,849.078857421875,1328.4591064453125,1158.0863037109375,2887.922119140625
2023-01-09,768.66552734375,852.2503662109375,1361.4296875,1185.4302978515625,2985.398681640625
2023-01-10,754.6154174804688,840.540283203125,1347.9481201171875,1167.9010009765625,2955.2294921875
2023-01-11,765.4898071289062,845.3706665039062,1349.3236083984375,1153.1790771484375,2993.26708984375
2023-01-12,769.5797119140625,839.8572387695312,1357.8988037109375,1128.2769775390625,2998.347900390625
2023-01-13,770.18115234375,852.3479614257812,1379.03857421875,1126.451171875,3034.4970703125
2023-01-16,762.7952880859375,844.3461303710938,1399.077880859375,1115.723388671875,3066.2255859375
2023-01-17,774.1508178710938,844.24853515625,1411.917724609375,1131.5638427734375,3107.0126953125
2023-01-18,787.8160400390625,848.493408203125,1417.3287353515625,1129.692138671875,3117.681396484375
2023-01-19,791.0878295898438,845.224365234375,1411.3673095703125,1128.4825439453125,3102.138916015625
2023-01-20,799.195556640625,849.3228759765625,1399.1239013671875,1115.0615234375,3092.94189453125
2023-01-23,805.0418090820312,850.6402587890625,1419.7132568359375,1109.423828125,3140.58056640625
2023-01-24,815.8198852539062,849.7132568359375,1423.2899169921875,1102.873046875,3160.261962890625
2023-01-25,793.2771606445312,834.6364135742188,1415.1275634765625,1087.6258544921875,3154.238037109375
2023-01-27,777.4708862304688,797.4569702148438,1393.2540283203125,1066.992431640625,3137.040283203125
2023-01-30,776.677001953125,803.6046752929688,1411.275634765625,1077.218017578125,3157.82470703125
2023-01-31,771.552490234375,811.8017578125,1406.64404296875,1074.5245361328125,3088.8955078125
2023-02-01,783.1245727539062,827.4640502929688,1422.5562744140625,1068.1566162109375,3134.557373046875
2023-02-02,771.4802856445312,837.1736450195312,1452.5003662109375,1062.244873046875,3182.42578125
2023-02-03,798.1611328125,842.9310302734375,1466.853515625,1063.1806640625,3202.566650390625
2023-02-06,794.7688598632812,833.0751342773438,1439.7525634765625,1055.1690673828125,3182.01220703125
2023-02-07,795.9476318359375,832.1480712890625,1432.919921875,1052.635498046875,3193.599853515625
2023-02-08,795.8514404296875,838.3446044921875,1458.691162109375,1073.6572265625,3237.330322265625
2023-02-09,794.1914672851562,840.0035400390625,1482.9949951171875,1075.52880859375,3256.41357421875
2023-02-10,797.3430786132812,833.2214965820312,1475.245361328125,1066.6728515625,3253.37841796875
2023-02-13,797.9445190429688,830.0988159179688,1437.55126953125,1060.6015625,3202.658203125
2023-02-14,805.3305053710938,844.3948364257812,1461.2132568359375,1085.5946044921875,3218.93701171875
2023-02-15,803.694580078125,849.761962890625,1464.698486328125,1110.1768798828125,3237.836181640625
2023-02-16,800.7835083007812,848.4446411132812,1469.0548095703125,1109.3095703125,3272.23193359375
2023-02-17,796.7657470703125,841.8089599609375,1452.54638671875,1113.9429931640625,3219.902587890625
2023-02-20,789.2835083007812,831.5137329101562,1460.4796142578125,1102.16552734375,3207.1650390625
2023-02-21,792.2427368164062,833.5630493164062,1448.6026611328125,1111.1585693359375,3173.78076171875
2023-02-22,776.7009887695312,818.9741821289062,1432.3695068359375,1085.9598388671875,3128.302978515625
2023-02-23,771.4321899414062,819.462158203125,1422.189453125,1080.7557373046875,3139.569091796875
2023-02-24,764.5514526367188,819.413330078125,1422.1436767578125,1088.15087890625,3127.29150390625
2023-02-27,766.4520874023438,835.7098999023438,1384.22021484375,1080.91552734375,3064.2021484375
2023-02-28,769.6759033203125,834.197265625,1364.2728271484375,1060.2362060546875,3046.728515625
2023-03-01,768.93017578125,835.6123046875,1372.068603515625,1069.982421875,3113.7265625
2023-03-02,762.3861694335938,833.3678588867188,1350.149169921875,1061.833984375,3054.6376953125
2023-03-03,777.51904296875,847.56640625,1356.7064208984375,1088.9271240234375,3073.675048828125
2023-03-06,783.0043334960938,846.7857055664062,1382.523681640625,1099.5633544921875,3100.9892578125
2023-03-08,784.568115234375,851.030517578125,1368.9959716796875,1103.51220703125,3118.049072265625
2023-03-09,784.6401977539062,835.270751953125,1357.7154541015625,1076.9896240234375,3068.800537109375
2023-03-10,764.4071044921875,822.2921142578125,1349.5987548828125,1060.3046875,3063.42041015625
2023-03-13,754.7357177734375,808.3863525390625,1316.1695556640625,1042.8665771484375,3018.310546875
2023-03-14,752.7147827148438,810.2891845703125,1302.3209228515625,1038.9635009765625,2956.69287109375
2023-03-15,741.91259765625,805.94677734375,1301.9998779296875,1021.2057495117188,2941.932373046875
2023-03-16,746.7241821289062,803.9950561523438,1287.7384033203125,1016.1157836914062,2929.1484375
2023-03-17,756.70849609375,816.0466918945312,1302.9627685546875,1014.837646484375,2923.906494140625
2023-03-20,751.4637451171875,816.241943359375,1287.3258056640625,1004.8631591796875,2890.798828125
2023-03-21,759.9803466796875,831.8065185546875,1275.4490966796875,1036.1103515625,2856.586669921875
2023-03-22,758.2241821289062,839.4180908203125,1274.1192626953125,1039.2601318359375,2879.302490234375
2023-03-23,752.1373901367188,834.7828979492188,1260.637451171875,1026.1131591796875,2873.646484375
2023-03-24,750.9344482421875,831.8065185546875,1266.2318115234375,1005.7990112304688,2869.82958984375
2023-03-27,754.2063598632812,828.1959228515625,1273.8438720703125,1021.4339599609375,2871.485595703125
2023-03-28,760.34130859375,834.0997314453125,1263.4345703125,1026.2044677734375,2865.599609375
2023-03-29,763.9981689453125,830.4403076171875,1268.8917236328125,1020.133056640625,2886.751708984375
2023-03-31,774.4635620117188,856.05615234375,1309.612060546875,1064.116455078125,2948.36962890625
2023-04-03,774.9447631835938,862.4478759765625,1293.9290771484375,1064.299072265625,2942.943603515625
2023-04-05,795.7311401367188,863.2285766601562,1305.5767822265625,1061.74267578125,2979.54638671875
2023-04-06,801.7938842773438,853.8605346679688,1304.0634765625,1068.8638916015625,2961.98095703125
2023-04-10,797.99267578125,847.46875,1309.291015625,1061.2861328125,3001.2509765625
2023-04-11,800.3263549804688,860.5938720703125,1289.6187744140625,1066.535888671875,2955.63525390625
2023-04-12,810.7196044921875,868.6445922851562,1309.93310546875,1071.23779296875,2981.248291015625
2023-04-13,814.3523559570312,877.2807006835938,1274.0732421875,1075.27783203125,2932.689697265625
2023-04-17,801.938232421875,879.525146484375,1154.0213623046875,1080.73291015625,2887.303466796875
2023-04-18,798.5460205078125,875.1825561523438,1154.984375,1068.3619384765625,2879.25634765625
2023-04-19,801.4810791015625,870.3522338867188,1130.0843505859375,1073.6800537109375,2841.41259765625
2023-04-20,804.46435546875,872.7918701171875,1122.0137939453125,1070.9638671875,2855.39111328125
2023-04-21,805.7635498046875,864.2532348632812,1125.6363525390625,1072.310546875,2906.938720703125
2023-04-24,812.2833862304688,882.8917846679688,1124.6734619140625,1076.4190673828125,2919.767822265625
2023-04-25,800.7353515625,891.3816528320312,1123.3892822265625,1084.65869140625,2920.87158203125
2023-04-26,804.416259765625,892.8453979492188,1125.81982421875,1078.290771484375,2941.24267578125
2023-04-27,808.843017578125,896.1631469726562,1142.9700927734375,1085.115234375,2931.86181640625
2023-04-28,812.0186767578125,895.4801635742188,1148.9315185546875,1104.949951171875,2960.64697265625
2023-05-02,811.8502807617188,899.8226318359375,1171.5843505859375,1114.3310546875,2960.785400390625
2023-05-03,814.689208984375,900.554443359375,1163.9722900390625,1104.767333984375,2924.45849609375
2023-05-04,831.3616333007812,899.4323120117188,1168.007568359375,1117.503662109375,2961.98095703125
2023-05-05,782.2103881835938,904.555419921875,1154.755126953125,1114.6505126953125,2971.17724609375
2023-05-08,791.2562866210938,915.2408447265625,1160.71630859375,1128.4140625,2989.479248046875
2023-05-09,791.2803344726562,911.8255004882812,1165.3935546875,1131.9061279296875,3019.50634765625
2023-05-10,794.9371948242188,913.4356079101562,1158.561279296875,1139.6895751953125,3022.77099609375
2023-05-11,795.4664916992188,916.5094604492188,1152.003662109375,1132.24853515625,3018.494384765625
2023-05-12,802.4916381835938,921.095947265625,1142.007080078125,1134.0972900390625,3011.27490234375
2023-05-15,806.3409423828125,922.9012451171875,1154.0672607421875,1136.334228515625,2993.5712890625
2023-05-16,801.7174072265625,923.4866943359375,1159.524169921875,1120.1513671875,2996.4228515625
2023-05-17,797.4102172851562,916.6558837890625,1143.566162109375,1113.5322265625,2950.945068359375
2023-05-18,800.5980224609375,923.6331787109375,1142.7408447265625,1111.1356201171875,2942.8056640625
2023-05-19,801.5227661132812,931.2446899414062,1163.742919921875,1114.741943359375,2963.9580078125
2023-05-22,798.6756591796875,927.39013671875,1185.662353515625,1120.6990966796875,3033.715087890625
2023-05-23,796.8018798828125,930.366455078125,1192.3116455078125,1120.49365234375,3032.197998046875
2023-05-24,786.3868408203125,917.9244384765625,1191.027587890625,1113.9656982421875,3037.991943359375
2023-05-25,783.3693237304688,917.143798828125,1196.2552490234375,1113.828857421875,3028.93310546875
2023-05-26,786.3868408203125,927.731689453125,1208.26953125,1144.208740234375,3061.48876953125
2023-05-29,795.9744873046875,925.2433471679688,1205.4722900390625,1150.6453857421875,3053.62646484375
2023-05-30,796.5828857421875,926.9998168945312,1214.138916015625,1150.3486328125,3049.809814453125
2023-05-31,783.9777221679688,926.2191162109375,1209.049072265625,1127.5009765625,3025.254638671875
2023-06-01,780.6439819335938,913.4843139648438,1210.1494140625,1124.4652099609375,3056.98291015625
2023-06-02,781.860595703125,915.48486328125,1207.3612060546875,1120.7904052734375,3040.060791015625
2023-06-05,780.838623046875,923.8770751953125,1212.473388671875,1130.8563232421875,3024.702392578125
2023-06-06,778.4051513671875,919.3394165039062,1188.7720947265625,1131.8148193359375,2972.64892578125
2023-06-07,782.4446411132812,917.4853515625,1198.020263671875,1140.3970947265625,3011.826904296875
2023-06-08,782.9312744140625,915.2408447265625,1192.3043212890625,1141.081787109375,2976.465576171875
2023-06-09,783.8560791015625,915.3872680664062,1176.6427001953125,1133.001708984375,2951.496826171875
2023-06-12,779.0865478515625,913.3380126953125,1200.8084716796875,1134.0059814453125,2986.075927734375
2023-06-13,780.4005737304688,920.75439453125,1212.798583984375,1150.759521484375,2983.133056640625
2023-06-14,779.5488891601562,917.094970703125,1208.6624755859375,1164.910888671875,2989.89306640625
2023-06-15,769.961181640625,904.2138671875,1196.0218505859375,1165.23046875,2979.9326171875
2023-06-16,780.0355224609375,911.63037109375,1200.5296630859375,1176.574462890625,2941.5751953125
2023-06-19,780.7169189453125,900.8472900390625,1202.7139892578125,1164.88818359375,2974.466796875
2023-06-20,782.3473510742188,903.1892700195312,1211.4508056640625,1167.3074951171875,2990.495361328125
2023-06-21,796.023193359375,902.3598022460938,1207.6866455078125,1170.5943603515625,3018.753662109375
2023-06-22,799.9166870117188,903.3844604492188,1191.1422119140625,1157.4471435546875,3000.501708984375
2023-06-23,799.8680419921875,901.1887817382812,1175.7598876953125,1147.9749755859375,2979.979736328125
2023-06-26,795.9988403320312,905.0433959960938,1180.732421875,1139.210205078125,2955.2412109375
2023-06-27,807.2169799804688,913.4843139648438,1188.91162109375,1139.62109375,2962.37548828125
2023-06-28,815.75830078125,914.8017578125,1202.1097412109375,1154.708251953125,2979.14501953125
2023-06-30,828.047119140625,912.0205688476562,1241.286376953125,1164.1805419921875,3059.56640625
2023-07-03,837.0021362304688,919.7785034179688,1239.6131591796875,1194.058349609375,3031.8173828125
2023-07-04,841.0902709960938,921.8765869140625,1250.255615234375,1181.7557373046875,3065.68115234375
2023-07-05,814.3712768554688,934.8552856445312,1252.2540283203125,1179.8155517578125,3075.965087890625
2023-07-06,815.1986083984375,936.2214965820312,1249.09375,1204.5804443359375,3078.69873046875
2023-07-07,808.093017578125,923.5355224609375,1236.360107421875,1202.2294921875,3084.58203125
2023-07-10,806.1705932617188,925.4872436523438,1235.3843994140625,1248.541015625,3031.4931640625
2023-07-11,802.2528076171875,922.12060546875,1253.4622802734375,1262.0760498046875,3031.90966796875
2023-07-12,794.7334594726562,921.5839233398438,1239.24169921875,1263.468505859375,3020.32861328125
2023-07-13,798.6998901367188,932.61083984375,1268.7982177734375,1252.1702880859375,3095.051513671875
2023-07-14,800.3546752929688,936.8557739257812,1325.35546875,1251.1202392578125,3256.357177734375
2023-07-17,817.0966796875,945.2968139648438,1322.567138671875,1276.6842041015625,3235.09326171875
2023-07-18,816.415283203125,951.8837280273438,1371.131103515625,1287.52587890625,3239.864990234375
2023-07-19,820.1141357421875,949.9320678710938,1370.898681640625,1297.294921875,3215.03466796875
2023-07-20,821.8905639648438,971.5469360351562,1347.244140625,1295.7239990234375,3217.125244140625
2023-07-21,815.5636596679688,972.9130859375,1237.661376953125,1255.6134033203125,3128.8779296875
2023-07-24,816.8533325195312,968.0338134765625,1242.3087158203125,1230.216796875,3153.447509765625
2023-07-25,825.7110595703125,970.6686401367188,1240.449951171875,1229.425537109375,3157.53466796875
2023-07-26,822.8395385742188,972.3764038085938,1253.6944580078125,1249.4063720703125,3147.455810546875
2023-07-27,814.2982788085938,966.326171875,1257.691162109375,1237.7838134765625,3155.444580078125
2023-07-28,799.8680419921875,972.1324462890625,1245.93359375,1250.2225341796875,3116.894287109375
2023-07-31,803.615478515625,974.181640625,1260.061279296875,1260.8065185546875,3178.249755859375
2023-08-01,808.9933471679688,970.5222778320312,1268.8912353515625,1242.9769287109375,3206.674560546875
2023-08-02,798.407958984375,963.1058959960938,1261.1302490234375,1229.697509765625,3196.08447265625
2023-08-03,792.6407470703125,941.6861572265625,1268.0546875,1224.529052734375,3158.278076171875
2023-08-04,804.1021118164062,947.0532836914062,1281.113525390625,1241.1717529296875,3198.77880859375
2023-08-07,803.6398315429688,952.0789184570312,1294.72998046875,1248.244384765625,3236.400146484375
2023-08-08,802.9828491210938,956.2261962890625,1292.1275634765625,1240.7264404296875,3223.906005859375
2023-08-09,803.2748413085938,957.0133056640625,1296.03125,1248.911865234375,3216.3818359375
2023-08-10,796.1448364257812,948.552001953125,1291.1051025390625,1254.475830078125,3197.431640625
2023-08-11,787.8468627929688,937.4833984375,1275.0718994140625,1259.767822265625,3203.655517578125
2023-08-14,784.0020751953125,944.0753173828125,1295.2412109375,1274.6546630859375,3204.631103515625
2023-08-16,781.714599609375,941.0745849609375,1318.4310302734375,1273.6160888671875,3212.572998046875
2023-08-17,777.3831176757812,936.3027954101562,1311.971435546875,1255.2425537109375,3191.532958984375
2023-08-18,774.1953125,935.3189086914062,1290.826171875,1264.5406494140625,3127.762939453125
2023-08-21,773.5869750976562,939.7955322265625,1306.255126953125,1250.74267578125,3159.856689453125
2023-08-22,770.2774658203125,936.6471557617188,1304.7215576171875,1250.44482421875,3141.7431640625
2023-08-23,772.1755981445312,951.2576293945312,1308.625244140625,1251.8345947265625,3156.698974609375
2023-08-24,768.622802734375,953.3237915039062,1323.171142578125,1230.7904052734375,3146.94482421875
2023-08-25,759.9597778320312,954.7504272460938,1319.918212890625,1225.1075439453125,3140.953369140625
2023-08-28,767.868408203125,954.89794921875,1315.7821044921875,1212.897705078125,3135.612060546875
2023-08-29,773.9763793945312,952.1431274414062,1317.64111328125,1201.2838134765625,3136.16943359375
2023-08-30,768.3307495117188,943.4359130859375,1333.9066162109375,1200.142333984375,3149.91796875
2023-08-31,764.8023071289062,943.2882690429688,1334.185302734375,1194.6578369140625,3118.19482421875
2023-09-01,766.384033203125,953.077880859375,1341.9927978515625,1197.4619140625,3139.002685546875
2023-09-04,771.1779174804688,951.7495727539062,1361.7435302734375,1196.494140625,3175.50927734375
2023-09-05,766.4813842773438,952.7826538085938,1374.570068359375,1202.89697265625,3185.588134765625
2023-09-06,776.507080078125,942.0584716796875,1373.2222900390625,1205.4281005859375,3186.098876953125
2023-09-07,783.9777221679688,950.0770263671875,1362.765869140625,1207.06591796875,3209.646728515625
2023-09-08,790.0856323242188,954.89794921875,1365.9261474609375,1215.1064453125,3197.24560546875
2023-09-11,794.173828125,962.4737548828125,1372.2928466796875,1228.20947265625,3233.241455078125
2023-09-12,796.6559448242188,974.5262451171875,1395.2039794921875,1210.4658203125,3326.2724609375
2023-09-13,800.0626831054688,973.8374633789062,1392.64794921875,1216.52099609375,3314.243408203125
2023-09-14,799.5759887695312,971.7714233398438,1400.6412353515625,1217.6376953125,3306.997802734375
